tcode,description,module
F9L4,Posting Date for Closing in Dialog,
F9N1,Create Bank Statements,
F9N10,Overview End of Day Processing,
F9N11,Start End-of-Day Processing,
F9N12,Overview of Current Mass Runs,
F9N13,Accounts. Blocked by Single Balancing,
F9N14,Duplicate Creation Bk.State. Restart,
F9N15,Duplicate Creation Single Run,
F9N18,Restart Balance Notification,
F9N19,Balance Notification Application Log,
F9N3,Application Log Bank Statement,
F9N4,Restart - Bank Statement,
F9N6,Posting Date for Balancing as Batch,
F9N7,Bank Statement - Single Account,
F9N9,Bank Statement - Duplicate Creation,
F9POAUTH,BCA: Authorization Group Order,
F9POWFCU,Assign Workflow Tasks Account Mgmt,
F9SIMMINDEP,Min. Deposit Maint.: Term-Independt,
F9SOAUTH,BCA: Authorization Group Order,
F9TRMMINDEP,Min. Deposit Maint.: Term-Dependent,
FAGL21,Create General Ledger Rollup,
FAGL22,Change General Ledger Rollup,
FAGL23,Display General Ledger Rollup,
FAGL24,Delete General Ledger Rollup,
FAGLB03,Display Balances,
FAGLF101,Sorted List/Regrouping,
FAGLGA11,General Ledger: Create Act. Assessmt,
FAGLGA27,Gen. Ledger: Create Plan Assessment,
FAGLGA31,Gen. Ledger: Create Act.Distribution,
FAGLGA47,Gen. Ledger:Create Plan Distribution,
FAGLGCLE,Activation of Plan Line Items,
FAGLGVTR,G/L: Balance Carried Forward,
FAGLL03,G/L Account Line Items (New),
FAGLPLC,Gen. Ledger: Change Planning Layout,
FAGLPLD,Gen. Ledger: Display Planning Layout,
FAGLPLI,Gen. Ledger: Create Planning Layout,
FAGLSKF6,Stat. Key Figs: Post CO Subsequently,
FAGLSKF7,Stat. Key Figs: Post FI Subsequently,
FAGL_CHECK_ACCOUNT,Check G/L Accounts for Doc.Splitting,
FAGL_CHECK_DOC_TYPE,Check Doc. Types for Doc. Splitting,
FAGL_CHECK_LINETYPE,Check Bus. Transaction for Documents,
FAGL_CHECK_OBJ,Analysis of Obj. No. Inconsistencies,
FAGL_CO_PLAN,Transfer CO Plan Documents in ERP GL,
FAGL_DEL,Delete Transaction Data from Ledger,
FAGL_DOCNR,Number Range Maint. for Doc. Number,
FAGL_FC_TRANS,Currency Translation of Balances,
FAGL_FC_VAL,Foreign Currency Valuation,
FAGL_GINS,G/L installation,
FAGL_MIG_ACTIVATE,Start Migration,
FAGL_MIG_ADJUST,Log of Document-Specific Adjustments,
FAGL_MIG_CRESPLIT,Process Open Items for Doc.Splitting,
FAGL_MIG_FICHAN,Subsequent Posting: FI Docs (Update),
FAGL_MIG_FICHAT,Subseq. Posting: FI Docs (Selection),
FAGL_MIG_FINISH,Complete Migration,
FAGL_MIG_OPFILL,Worklist for Open Items,
FAGL_MIG_REPORT_SUM,Generated Entries: Totals Table,
FAGL_MIG_REPOST,Subsequent Posting in Migration,
FAGL_MIG_REPOST_OP,Transfer Open Items to New GL,
FAGL_MIG_RESTORE_ALL,Reset Migration Completely,
FAGL_MIG_RPFILL,Worklist for Migration Documents,
FAGL_MIG_SELECT,Determine Migration Objects,
FAGL_MIG_SHOW_SPL,Display Document Splitting Result,
FAGL_MIG_SIM_SPL,Simulation of Document Splitting,
FAGL_MIG_SPLIT,Subsequently Post Split Information,
FAGL_MIG_STATUS,Analysis: Migration Status,
FAGL_ML_ADJUST,Reconcil. with Bal. Sheet Account in FI,
FAGL_OBH1,C FI Doc.No.Range: Copy Company Code,
FAGL_OBH2,C FI Doc.No.Range: Copy Fiscal Year,
FAGL_PL_LC,Number Range Maint. for Plan Docs,
FAGL_UPL_CF,G/L: Upload of Balance Carryforward,
FAGL_VAL_LOG,Analysis: Validation Log,
FB00,Accounting Editing Options,
FB01,Post Document,
FB02,Change Document,
FB03,Display Document,
FB03L,Document Display : G/L View,
FB04,Document Changes,
FB05,Post with Clearing,
FB08,Reverse Document,
FB09,Change Line Items,
FB10,Invoice/Credit Fast Entry,
FB12,Correspondence Request,
FB18,Maintain Standard Mail Texts,
FB1D,Clear Customer,
FB1SL,Clear G/L Account for Ledger Group,
FB41,Post Tax Payable,
FB50,G/L Account Pstg: Single Screen Trans.,
FB60,Enter Incoming Invoices,
FB65,Enter Incoming Credit Memos,
FB70,Enter Outgoing Invoices,
FB75,Enter Outgoing Credit Memos,
FBA2,Post Customer Down Payment,
FBA3,Clear Customer Down Payment,
FBB1,Post Foreign Currency Valn,
FBCB,Balance Carryfwd for Ledger Group,
FBCJC0,C FI Maintain Tables TCJ_C_JOURNALS,
FBCJC1,Cash Journal Document Number Range,
FBCJC2,C FI Maint. Tables TCJ_TRANSACTIONS,
FBCJC3,C FI Maintain Tables TCJ_PRINT,
FBCJC6,Number range maintenance: CAJO_DOC3,
FBD1,Enter Recurring Entry,
FBD2,Change Recurring Entry,
FBD3,Display Recurring Entry,
FBD4,Display Recurring Entry Changes,
FBD5,Realize Recurring Entry,
FBE2,Change Payment Advice,
FBE3,Display Payment Advice,
FBIC001,Check Assignment of Accounts,
FBIC002,Automatically Assign Accounts,
FBIC004,Activate Transaction Data Tables,
FBIC005,Create Additional Fields,
FBIC006,Create Additional Fields,
FBIC008,Companies to be Reconciled,
FBIC009,Companies to be Reconciled,
FBIC010,Reconciliation Process Attributes,
FBIC021,Reconciliation: Status,
FBIC028,Activate Process Tables,
FBIC031,Activate Process Tables,
FBIC032,Companies to be Reconciled,
FBIC033,Download Contact Person Data,
FBIC034,Upload Contact Person Data,
FBICA1,GL Open Items: Document Assignment,
FBICA2,GL Accounts: Document Assignment,
FBICA3,Customer/Vendor: Document Assignment,
FBICC,ICR: Generate Default Customizing,
FBICR1,GL Open Items: Reconcile Documents,
FBICR2,GL Accounts: Reconcile Documents,
FBICR3,Customer/Vendor: Reconcile Documents,
FBICRC_SNRO,No. Range Maintnce: FBICRC_REF,
FBICS1,GL Open Items: Select Documents,
FBICS2,GL Accounts: Select Documents,
FBICS3,Customer/Vendor: Select Documents,
FBL1,Display Vendor Line Items,
FBL1N,Vendor Line Items,
FBL2,Change Vendor Line Items,
FBL3,Display G/L Account Line Items,
FBL3N,G/L Account Line Items,
FBL4,Change G/L Account Line Items,
FBL4N,G/L Account Line Items,
FBL5N,Customer Line Items,
FBL6,Change Customer Line Items,
FBL6N,Customer Line Items,
FBMP,Maintain Dunning Procedure,
FBN1,Accounting Document Number Ranges,
FBOLNR,Number range maintenance: FKK_BOLETO,
FBOLXT,Number range maintenance: FKK_BOLXT,
FBPM1,Cross-Payment Run Payment Medium,
FBPM2,Status Report,
FBRA,Reset Cleared Items,
FBRC,Reset Cleared Items (Payment Cards),
FBRC001,Maintain Message Templates,
FBRC002,Maintain Placeholders,
FBRC003,Set Up Reconciliation Display,
FBRC004,Define Sets,
FBRC005,Define Rules for Document Assignment,
FBRC006,Define Possible Status for Documents,
FBRC007,Reconciliation Process Attributes,
FBRC008,Maintain Field Catalogs,
FBRC009,Set Up Display Categories,
FBRC010,Contact Database Maintenance,
FBRC011,Application ID Maintenance,
FBS1,Enter Accrual/Deferral Doc.,
FBU2,Change Intercompany Document,
FBU3,Display Intercompany Document,
FBU8,Reverse Cross-Company Code Document,
FBV0,Post Parked Document,
FBV1,Park Document,
FBV2,Change Parked Document,
FBV3,Display Parked Document,
FBV4,Change Parked Document (Header),
FBV5,Document Changes of Parked Documents,
FBV6,Parked Document $,
FBVB,Post Parked Document,
FBW4,Reverse Bill Liability,
FBZ0,Display/Edit Payment Proposal,
FBZ1,Post Incoming Payments,
FBZ3,Incoming Payments Fast Entry,
FBZP,Maintain Pmnt Program Configuration,
FCC1,Payment Cards: Settlement,
FCC2,Payment Cards: Repeat Settlement,
FCC4,Payment Cards: Display Logs,
FCCR,Payment Card Evaluations,
FCH3,Void Checks,
FCH4,Renumber Checks,
FCH5,Create Check Information,
FCH6,Change Check Information/Cash Check,
FCH7,Reprint Check,
FCH8,Reverse Check Payment,
FCH9,Void Issued Check,
FCHD,Delete Payment Run Check Information,
FCHE,Delete Voided Checks,
FCHF,Delete Manual Checks,
FCHI,Check Lots,
FCHN,Check Register,
FCHT,Change Check/Payment Assignment,
FCHV,C FI Maintain Table TVOID,
FCHX,Check Extract - Creation,
FCIWCU00,Generate DataSources,
FCOM_ALERT_CBL,Cost Center Monitor Rule Evaluation,
FCOM_ALERT_CBV,Cost Center Monitor Rule Evaluation,
FCOM_ALERT_CL,Cost Center Monitor Rule Evaluation,
FCOM_ALERT_CV,Cost Center Monitor Rule Evaluation,
FCOM_ALERT_OL,Order Monitor Rule Evaluation,
FCOM_ALERT_OV,Order Monitor Rule Evaluation,
FCOM_ALERT_PBL,Profit Center Monitor Rule Evaluatio,
FCOM_ALERT_PBV,Profit Center Monitor Rule Evaluat.,
FCOM_ALERT_PML,Profit Center Monitor Rule Evaluatio,
FCOM_ALERT_PMV,Profit Center Monitor Rule Evaluatio,
FCOM_EQM_COST,Equipment Monitor Rule Evaluation,
FCOM_LINE_SYNC_CBL,Delete Line Items CL,
FCOM_LINE_SYNC_CL,Delete Line Items CL,
FCOM_LINE_SYNC_OL,Delete Line Items OL,
FCOM_LINE_SYNC_PBL,Delete Line Items PL,
FCOM_LINE_SYNC_PML,Delete Line Items PL,
FCOM_RULE_CBL,Rule for Cost Center Line Items,
FCOM_RULE_CBV,Rule for Cost Center Variances,
FCOM_RULE_CL,Rule for Cost Center Line Items,
FCOM_RULE_CV,Rule for Cost Center Variances,
FCOM_RULE_OA,Rules for Equipment Monitor,
FCOM_RULE_OL,Rule for Internal Order Line Items,
FCOM_RULE_OV,Rule for Internal Order Variances,
FCOM_RULE_PBL,Rule for Profit Center Line Items,
FCOM_RULE_PBV,Rule for Profit Center Variances,
FCOM_RULE_PML,Rule for Profit Center Line Items,
FCOM_RULE_PMV,Rule for Profit Center Variances,
FCOM_RULE_USER_CBL,Display Rule for a User,
FCOM_RULE_USER_CBV,Display Rule for a User,
FCOM_RULE_USER_CL,Display Rule for a User,
FCOM_RULE_USER_CV,Display Rule for a User,
FCOM_RULE_USER_OL,Display Rule for a User,
FCOM_RULE_USER_OV,Display Rule for a User,
FCOM_RULE_USER_PBL,Display Rule for a User,
FCOM_RULE_USER_PBV,Display Rule for a User,
FCOM_RULE_USER_PML,Display Rule for a User,
FCOM_RULE_USER_PMV,Display Rule for a User,
FCOM_SNI_BUA,Settings for Hierarchy Display,
FCV3,Early Warning List,
FD01,Create Customer (Accounting),
FD02,Change Customer (Accounting),
FD03,Display Customer (Accounting),
FD08,Confirm Customer Individually(Actng),
FD11,Customer Account Analysis,
FD24,Credit Limit Changes,
FD32,Change Customer Credit Management,
FD33,Display Customer Credit Management,
FD37,Credit Management Mass Change,
FDFD,Cash Management Implementation Tool,
FDI1,Create Report,
FDI2,Change Report,
FDI3,Display Report,
FDI4,Create Form,
FDI5,Change Form,
FDI6,Display Form,
FDIO,Transport Reports,
FDIP,Transport Forms,
FDIQ,Import Reports from Client 000,
FDIR,Import Forms from Client 000,
FDIT,Translation Tool - Drilldown Report,
FDIV,Maintain Global Variable,
FDIX,Reorganize Drilldown Reports,
FDIY,Reorganize Report Data,
FDIZ,Reorganize Forms,
FDK43,Credit Management - Master Data List,
FDKUSER,Internet: User Action Assignment,
FDM_CUST00,Activate Dispute Management,
FDM_CUST01,Create Default Vals for Dispute Case,
FDM_CUST06,Values for Dispute Case in FSCM-BD,
FDM_CUST07,Dispute Case Reasons in FSCM-BD,
FDM_CUST08,Activation of Collections Management,
FDM_CUST10,Activate Assignment of Credit Memos,
FDM_CUST13,Dispute Case Default Values (TPM),
FDM_CUST20,Cust.-Disp. Objects in Dispute Cases,
FDTA,TemSe/REGUT Data Administration,
FEBAN,Bank statement postprocessing,
FEBA_BANK_STATEMENT,Postprocessing Bank Statement,
FEBP,Post Electronic Bank Statement,
FEBSTS,Search String Search Simulation,
FEB_BSPROC,Bank Statement Postprocessing,
FEUB,Adjust VIBEPP after EURO conversion,
FF$6,Check settings,
FF-3,Cash Management Summary Records,
FF-4,CMF Data In Accounting Documents,
FF-7,Planned Item Journal,
FF-8,Payment Advice Journal,
FF.5,Import Electronic Bank Statement,
FF.6,Display Electronic Bank Statement,
FF.7,Compare Payment Advices,
FF.9,Post Payment Orders,
FF.D,Generate payt req. from advices,
FF/9,Compare Advices with Bank Statement,
FF63,Create Planning Memo Record,
FF67,Manual Account Statement,
FF6A,Edit Cash Mgmt Pos Payment Advices,
FF6B,Edit liquidity forecast planned item,
FF73,Cash Concentration,
FF74,Use Program to Access Cash Concntn,
FF7A,Cash Position,
FF7B,Liquidity forecast,
FFA1,Compare Advices with Bk.Stmt Advices,
FF_5,Import Electronic Bank Statement,
FF_6,Display Electronic Bank Statement,
FGI0,Execute Report,
FGI1,Create Report,
FGI2,Change Report,
FGI3,Display Report,
FGI4,Create Form,
FGI5,Change Form,
FGI6,Display Form,
FGIO,Transport Reports,
FGIP,Transport Forms,
FGIQ,Import Reports from Client 000,
FGIR,Import Forms from Client 000,
FGIT,Translation Tool - Drilldown Report.,
FGIV,Maintain Global Variable,
FGIX,Reorganize Drilldown Reports,
FGIY,Reorganize Report Data,
FGIZ,Reorganize Forms,
FGSODN_IT1,Number range maintenance: FIN2_IT,
FI01,Create Bank,
FI02,Change Bank,
FI03,Display Bank,
FI04,Display Bank Changes,
FI08,Distribution of the Bank Master Data,
FI12,Change House Banks/Bank Accounts,
FIBF,Maintenance transaction BTE,
FIBLFFP,Free Form Payment,
FIBPU,Maintain bank chains for partner,
FICAAOLA,Master Data Tab,
FIGLMX_EACCT,Transaction for Mexico E-Accounting,
FIGLMX_JE,Mexico Journal Entry,
FILAUF_WF_CUST,Store Order: Workflow Customizing,
FILE,Cross-Client File Names/Paths,
FILINV_WF_CUST,Store Inventory:Workflow Customizing,
FINB_TR_WZ,RFC Connection Wizard,
FINP,Info System Processes,
FIOTP_NRIV,One-Time PostingsNumber Range Maint.,
FIPAY_CUST01,Maintenance View V_FIPAY_T042_GTS,
FIPOS,Create Commitment Items,
FIPRC10,Fields Maintenance,
FIPRC11,Feature Maintenance,
FIPRC3,Maintain Attributes,
FIPRC4,Maintain Key Prefix,
FIPRD1,Create Product,
FIPRD2,Change Product,
FIPRD3,Display Product,
FIPRD4,Copy Product,
FITP_RESPO,Contact Partner Responsibilities,
FITVFELD,Tree,
FITVFELD_WEB,Tree,
FI_APAR_SEPA_CUST,FI General Settings for SEPA,
FI_APAR_SEPA_FIELDS,FI Changeable Fields for SEPA,
FK01,Create Vendor (Accounting),
FK02,Change Vendor (Accounting),
FK03,Display Vendor (Accounting),
FK10N,Vendor Balance Display,
FKI1,Create Report,
FKI2,Change Report,
FKI3,Display Report,
FKI4,Create Form,
FKI5,Formular ändern,
FKI6,Display Form,
FKIO,Transport Reports,
FKIP,Transport Forms,
FKIQ,Import Reports from Client 000,
FKIR,Import Forms from Client 000,
FKIT,Translation Tool - Drilldown Report.,
FKIV,Maintain Global Variable,
FKIX,Reorganize Drilldown Reports,
FKIY,Reorganize Report Data,
FKIZ,Reorganize Forms,
FKKORDNR,Number Range Maintenance: FKK_ORD,
FKK_CORR_ARCHIVEINFO,Activate Archive IS for Corr. Arch.,
FLB1,Postprocessing Lockbox Data,
FLB2,Import Lockbox File,
FLBP,Post Lockbox Data,
FLQC1,Liquidity Items,
FLQC10,Regenerate Flow Data,
FLQC11,Query Sequences (Invoice),
FLQC13,Settings for FI Mechanisms,
FLQC14,FI Assignment Analysis,
FLQC2,Global Data,
FLQC3,Company Code Data,
FLQC4,Other Actual Accounts,
FLQC5,Query Sequences (Bank Statement),
FLQC6,Assignment: Sequences - Bank Accounts,
FLQC7,G/L Accounts Relevant for Query,
FLQC8,Query Sequences (FI Information),
FLQC9,Delete Flow Data,
FM3N,Commitment Items for G/L Accounts,
FMA2,Matching: CBM Line Items and Totals,
FMCADERIVE2,FM Derivation Trans. - Distributor,
FMCIA,Edit Commitment Item,
FMU3,Maintain Funds Resvtn Field Variants,
FMU5,Maintain Funds Reservatn Fld Groups,
FMU7,Maintain Funds Resvtn Field Selctn,
FMUN,Display Field Seln->Variant/Group,
FN-1,No.range: FVVD_RANL (Loan number),
FN-4,Number range maintenance: FVVD_PNNR,
FN-5,Number range maintenance: FVVD_SNBNR,
FN-6,Number range maintenance: FVVD_RPNR,
FNCW1,Responsibilities for Agent Assgnment,
FNCW2,Administrative Responsibility,
FNCW3,Assign Agents to Tasks,
FNCW4,Activate/Deactivate Workflow,
FNINL_PRODUCT_ATTR,Process Attribs for Install. Loans,
FNINL_PRODUCT_ATTR_D,Display Attributes for Inst. Loans,
FNLOS_PRODUCT_ATTR,Proc. of Attrs for Aquisition Syst.,
FNLOS_PRODUCT_ATTR_D,No. of Attrib. for Aquisition System,
FNQ5,Transact.type - Account determinat.adj.,
FNQ7,Generate flow type,
FNSARACUST,Customizing Loan Archiving CML,
FNZA,Account Determination Customizing,
FN_BILLNUM,Number Range Maintenance Bill Number,
FN_CL_PRODUCT_ATTR,Process Attributes: Consumer Loans,
FN_CL_PRODUCT_ATTR_D,Display Attributes: Consumer Loans,
FN_DERI_COMPANY_CODE,Derivation Rules for Company Code,
FN_DERI_CONDITION,Derivation Rules for Condition Table,
FN_DERI_ORIGINATOR,Derivation Rules for Originator,
FN_DERI_PRODUCT,Derivation Rules for Product,
FN_DERI_SALES_ORG,Derivation Rules for Org. Unit,
FN_PPO_VIEWCALL,PPO Customizing with Component,
FN_PRODUCT_KEYP_WORK,Change Key Prefix for Product Key,
FN_TRLE_CHECK_CUST,Check Cust. for Parallel Posit. Mgmt,
FN_TRLE_INIT_VCLASS,Initialization of General Valn Class,
FN_TRLE_TEST_INIT,REP: rfvd_test_distributor_init,
FO11,Number range maintenance: Land reg.,
FO12,Field status: Management contract,
FO22,Change business entity,
FO25,Number Range for Business Entity,
FO27,Number Range for Property,
FO28,Number Range for Building,
FO32,Change property,
FO36,Change building,
FO3B,Selection real.est.obj. for CO sett.,
FO3K,Maintain automatic postings accounts,
FO49,Check index for real estate,
FO4B,Stand.settings rental agreemnt analy,
FO4C,Stand.settings rental agreemnt analy,
FO4D,Stand.Settings Bus.Entity Analysis,
FO4E,Standard settings property analysis,
FO4F,Standard settings building analysis,
FO4L,Mainten.curr.conversion type TMR,
FO4M,Translation Tool - Drilldown Report,
FO4N,Number range maint.: RE_INVOICE,
FO4O,Stand.settings partner analysis,
FO4Q,Std settings land register analysis,
FO4W,Test monitor - Real Estate reports,
FO5V,Print New LO Number Correspondence,
FO62,Change settlement unit,
FO6A,Real estate field status application,
FO6G,No.range maintenance: FVVI_VWVTR,
FO6J,Maintain Real Estate Report Tree,
FO79,Maintain Rent Adjustm.History,
FO81,Display Rent Adjustm.History,
FO83,Change Management Contract,
FO8J,No.range maintenance:FVVI_VWEVT,
FO94,Number range maintenance:FVVI_BEBE,
FO9K,Import Reports from Client,
FO9L,Import Forms from Client 000,
FO9M,Transport reports,
FO9N,Transport Forms,
FOAIMMO,Maintain AIMMO Indicator,
FOAR04,REAR: Sections,
FOAR05,REAR: Pictures,
FOAR06,REAR: Screen Sequences,
FOAR18,REAR: Activity Field Modification,
FOARBW,Rental Request Number Range,
FOARNOTE,Rental Request: Notes,
FOAROF,Offer Number Range,
FOART1,REsearch: Concordance Eval. Test,
FOART2,REsearch: Administration Web-User,
FOB0,Number range maintenance:FVVI_SOID,
FOBC72,Business partner: Notes (role),
FOBC73,bc73,
FOBERCOR,Nummernkreispflege: FVVI_BEROB,
FOBK01,Nummernkreispflege: ISRE_KONTO,
FOBO02,REBO: Feldgruppen,
FOBO03,REBO: Sichten,
FOBO04,REBO: Abschnitte,
FOBO05,REBO: Bilder,
FOBO10,REBO: Feldmodifikation je Aktivität,
FOCNOI,Real Estate: BDN - CN Templates,
FOCPTL,Overview of Letters and Text Modules,
FOD9,CustDarwinRealEst:Create ac.sttl.var,
FODA,Cust.darwinRealEst:Chnge ac.sttl.var,
FODB,Cust.darwinRealEst: Disp.ac.sttl.var,
FODC,Cust.darwinRealEst:Delete ac.stl.var,
FOE2,Change: Rental Unit,
FOE5,Number range maintenance: MIETEINH,
FOE6,Run drilldown report,
FOE7,Create drilldown report,
FOE8,Change drilldown report,
FOE9,Display drilldown report,
FOEBL1,Lockbox total report,
FOED,Maintain global variable,
FOEU,Create form for real estate report,
FOEV,Change form for real estate report,
FOEW,Display form for real estate report,
FOGEDI,Building: Direct Input,
FOGEGN,Building: Generate Data File,
FOGESH,Building: Change Data File,
FOGRDI,Property: Direct Input,
FOGRGN,Property: Generate Data File,
FOGRSH,Property: Change Data File,
FOIH,RECN-Cust: Field Modification Activ.,
FOIT,Account Assign. for RE General Contract,
FOIX_NR,Number Range Maintenance: FVVI_RECN,
FOJJ,RECN-Cust: ContrTyp Preassignments,
FOKA,RE: Import Planning Layout,
FOKB,RE: Transport Planning Layouts,
FOKC,Create Cost Element Planning Layout,
FOKD,Change Cost Element Planning Layout,
FOKE,Display Cost Element Planning Layout,
FOKF,Create Stat. KF Planning Layout,
FOKG,Change Stat. KF Planning Layout,
FOKH,Display Stat. KF Planning Layout,
FOKOBA,Account Determination for Cond.Type,
FOKOTCH,Check Internal Condition Categories,
FOLR,FVVI Client copy text modules,
FOMASS,Number Range for Mass Changes,
FOMC_1,Electr. Account Statement: Test Data,
FOMC_2,Electr. Account Statement: Gen. File,
FOPCBU,Connect User and Person,
FOPC_AS_REORG,Administration Programs,
FOPC_CASECUST_CHECK,Case Management Customizing,
FOPC_DEFIC_ANA_COPY,Copy Issues for Deficiency Analysis,
FOPC_HR_DEL,Deletion of HR Table Entries,
FOPC_HR_REBUILD,Rebuild HR Object List,
FOPC_SIGNOFF_NOTE,Maintain Note for Sign-Off,
FOPC_SOD_CHECK,Segregation of duties check,
FOPC_STR_DISPLAY,Display MIC,
FOPC_WF_SLG1,Analyze Applicat. Log for Scheduling,
FOPD,Check acc./def. reference flow types,
FOPE,Copy reference flow types,
FOPF,List of reference flow types,
FOQ0,Number Range Maintenance: VERGLWOHN,
FOR3,Number range maintenance:FVVI_SRAUM,
FOSE,Account determination list,
FOSO,Number Range Maintenance: FVVI_RWINT,
FOTA,Rental units: Create data file,
FOTB,Change data file rental units,
FOTC,Direct input rental units,
FOTD,Lease-outs: Create data file,
FOTE,Change data file lease-outs,
FOTF,Direct input lease-outs,
FOTI04,RETI: Screen Layout Views,
FOTI05,RETI: Screen Layout Sections,
FOTI06,RETI: Screen Layout Screens,
FOTI07,RETI: Screen Sequence,
FOTI08,RETI: Times,
FOTI11,RETI: GUI Functions - Additional,
FOTI16,RETI: Field Modification Activity,
FOTIOI,RE BDN - TI Templates,
FOU1,RFVI: Rent adj. due to EURO Convers.,
FOV0,Rental agreement number range,
FOV2,Change Lease-Out: Master Data,
FOVZ,Rental Agreement Offer Number Range,
FOW0,Real Estate application number range,
FOWB18,RE-WB: Feldmodifikation Aktivität,
FOWEDI,BE: Direct Input,
FOWEGN,BE: Generate Data File,
FOWESH,BE: Change Data File,
FOZA,Account determ. for LO,
FOZC,Customizing post.interface REstMgmt,
FO_NRIV_IMKNT,Number Range Interval: FVVI_IMKNT,
FO_SAD9,Transfer Rental Request,
FP09FS,Field Selection Returns Lot Header,
FP09FSL,Field Selection Returns Lot List,
FP55,DunSch - Customer Structure Generat.,
FPAC02,Activate AS for Document Archiving,
FPAC03,Activate AS for Paymt Lot Archiving,
FPAC04,Activate AS for Returns Lot Arch.,
FPAC05,Activate AS for contract Account arch.,
FPAC06,Activate AS for Correspondence arch.,
FPAR02A,FICA Runtime for Archiving Requests,
FPAR02B,Activate AS for Archiving Requests,
FPAR03B,Activate AS for Revenue Distribution,
FPARBGA0,FI-CA: Life of Tax Info. for Com.Ops,
FPARBGA2,Activate AS for Tax for Commerc. Ops,
FPARCASE0,FI-CA: Item List Runtime,
FPARCASE2,Activate AS for Item List in Cases,
FPARCJ0,FI-CA: Cash Journal Runtime,
FPARCJ2,Activate AS for Cash Journal,
FPARCOLL0,FI-CA: Collection Agency Runtimes,
FPARCOLL2,Activate AS for Collection Agency,
FPARINDPAY0,Runtime of Payment Specifications,
FPARINDPAY2,Activate AS for Payment Specificatns,
FPARM0,Define FICA Dun. Archiving Runtime,
FPARMDOC0,FI-CA: Sample Docs (General) Life,
FPARMDOC2,Activate AS for Sample Documents,
FPARPNBK0,FI-CA: Prenofitication Runtime,
FPARPNBK2,Activate Archive IS Prenotification,
FPARSTPY0,FICA: Life for Pymts Sub. to StampTx,
FPARSTPY2,Activate AS for Stamp Tax Payments,
FPB10,Paymt Lot Transfer - Cust.Struct.Gen,
FPB11,ReturnsLotTransfer - Cust.Struct.Gen,
FPB14,Check Reg. Tfr - Cust. Struct. Gen.,
FPB22,Advice Note Tfr - Generate Cust.Str.,
FPB9,Doc.Transfer-Cust.Struct.Generator,
FPB_CHANGE_APPLFIELD,Change Comb. of applid fieldnam,
FPB_DELETE_PERS_DATA,Delete Selected Personalization Data,
FPB_FILL_PERS_CC,"Fill for Personalization, Cost Ctrs",
FPB_FILL_PERS_PC,"Fill for Personalization,Profit Ctrs",
FPB_LP_BUY_REP_CUST,Maintain Report List for Buyer,
FPB_LP_ISR_REP_CUST,Maintain Report List for Role ISR,
FPB_LP_MSS_REP_CUST,MSS Reporting Report Customizing,
FPB_LP_MT_REP_CUST,MT Reporting Report Customizing,
FPB_LP_PM_REP_CUST,Maintain Report List for Role PM,
FPB_LP_PSS_REP_CUST,PSS Reporting Report Customizing,
FPB_LP_PS_REP_CUST,Maintain Report List for Role PS,
FPB_LP_QI_REP_CUST,QI Reporting Report Customizing,
FPB_MAINTAIN_HIER,Personalization: Hierarchy Maint.,
FPB_MAINTAIN_PERS_M,Collective Processing of Pers. Data,
FPB_MAINTAIN_PERS_S,Individual Processing of Pers. Data,
FPB_SHOW_PERS_DATA,Display Personalization Data,
FPCOLLAG,Derivation Cllction Agncy - Custom.,
FPDP_ACTIVATE,Application: Activate Down Payments,
FPDP_MESSAGE,Customizing Messages,
FPEW1,Euro: Reconcile with G/L,
FPEW2,Euro: Status of Mass Runs,
FPEW5,Euro: Display Critical Documents,
FPEW6,Euro: Adjust FI Reconciliation Accounts,
FPEW7,Euro: Check Adjustment Posting,
FPEW8,Log Data on Euro Differences,
FPEWG,EURO: Determin. of GLT0 Conv.Prog.,
FPG1,Transfer Posting Totals to G/L,
FPN1,Number Range Maintenance: FKK_BELEG,
FPN10,Number Range Maintenance: FKKINDPAY,
FPN2,Maintain Number Range: FKK_ACCOUNT,
FPN3,Number Range Maintenance: FKK_ZAUFT,
FPN4,Number Range Maintenance: FKKPYFORM,
FPN6,Number Range Maintenance: FKK_EXTDOC,
FPN7,Number Range Maintenance: FKKPYORDER,
FPN8,Number Range Maintenance: FKK_TXINV,
FPNRPT,Number Range Maintenance: FKK_REPT,
FPN_AUBID,Number Range Maintenance: FKKD_AUBID,
FPN_EXTDOC_IT,No. Range Maintnce: FKKEXBL_IT,
FPO1,FI-CA: OI List per Key Date,
FPO2,Reconciliation of OI's in G/L,
FPS2,Generate Payment Advice from Polling,
FPS3,Intraday Statment,
FPSEC0,Number Range Maintenance: FKK_SEC,
FPW1,Foreign Currency Valuation,
FP_NOTE_TEST,Note to payee Analysis - Test,
FQ0015,Account Assignment of Other Taxes,
FQ0025,Tax Specifications,
FQ0061,FI-CA: Late Payment Surcharge,
FQ0090,FI-CA: Specifications for Bundling,
FQ0111,FI-CA: Returns Specifications,
FQ0200,FI-CA: Withholding Tax Outgoing Payt,
FQ0201,FI-CA: Addtl Withholding Tax OutPayt,
FQ0210,FI-CA: Withholding Tax Incoming Payt,
FQ0211,FI-CA: Addtl Withholding Tax IncPayt,
FQ0300,FI-CA: Segment for G/L Item,
FQ0301,FI-CA: Segment for Bus. Partner Item,
FQ1031,FI-CA: Incoming Pmnt Specifications,
FQ1032,FI-CA: Post Payment Order Specs,
